street,school,loc
Greenlawn Drive A,Fairfield Warde High School, 1-999999 005-33
Greenleigh Road A,Stratfield School, 1-999999 004-33
Grist Mill Lane A,Mill Hill School, 1-999999 010-32
Gunston Road A,Mill Hill School, 1-999999 010-32
Guydan Lane A,St Pius School, 1-999999 002-34
Half Mile Lane A,Mill Hill School, 1-999999 010-32
Half Mile Road E,Mill Hill School, 24-500 010-32
Half Mile Road O,Mill Hill School, 41-83 010-32
Half Mile Road O,Mill Hill School, 85-85 010-32
Half Mile Road O,Mill Hill School, 87-497 010-32
Halley Avenue A,McKinley School, 1-999999 006-33
Halley Court A,McKinley School, 1-999999 006-33
Hamilton Court A,Dwight School, 1-999999 001-34
Hanford Drive A,Fairfield Woods Middle School, 1-999999 003-32
Harbor Road A,Mill Hill School, 1-999999 010-32
Harris Street A,McKinley School, 1-999999 006-33
Harvester Road E,Stratfield School, 2-302 004-33
Harvester Road E,St Pius School, 304-398 002-34
Harvester Road O,Stratfield School, 1-189 004-33
Harvester Road O,St Pius School, 191-399 002-34
Harwich Road A,Stratfield School, 1-999999 004-33
Hawthorne Drive A,St Pius School, 1-999999 002-34
Hazel Street A,McKinley School, 1-999999 006-33
Heather Lane A,Fairfield Ludlowe High School, 1-999999 008-32
Helen Street A,Mill Hill School, 1-999999 010-32
Hemlock Hills North A,Dwight School, 1-999999 001-34
Hemlock Hills South A,Dwight School, 1-999999 001-34
Hemlock Road A,Dwight School, 1-999999 001-34
Henderson Road A,Fairfield Ludlowe High School, 1-999999 008-32
Henry Street A,Fairfield Ludlowe High School, 1-999999 008-32
Hersh Road A,St Pius School, 1-100 002-34
Hibiscus Street A,McKinley School, 1-999999 006-33
Hickory Lane A,Dwight School, 1-999999 001-34
High Circle Lane A,Fairfield Woods Middle School, 1-999999 003-32
High Court A,Holland Hill School, 1-999999 007-33
High Meadow Road A,Mill Hill School, 1-999999 010-32
High Point Lane A,Dwight School, 1-999999 001-34
High Ridge Road A,Fairfield Woods Middle School, 20-435 003-32
High Street E,Holland Hill School, 2-300 007-33
High Street E,McKinley School, 302-756 006-33
High Street E,McKinley School, 758-920 006-33
High Street E,McKinley School, 922-1020 006-33
High Street E,Fairfield Woods Middle School, 1022-1298 003-32
High Street O,Holland Hill School, 1-499 007-33
High Street O,McKinley School, 501-703 006-33
High Street O,Holland Hill School, 705-869 007-33
High Street O,Fairfield Woods Middle School, 871-1199 003-32
Highlawn Road A,Fairfield Woods Middle School, 1-999999 003-32
Hilary Circle A,St Pius School, 1-999999 002-34
Hill Brook Lane A,Dwight School, 1-999999 001-34
Hill Farm Road E,Dwight School, 160-790 001-34
Hill Farm Road O,Fairfield Ludlowe High School, 33-799 008-32
Hillandale Road A,Fairfield Warde High School, 1-999999 005-33
Hillcrest Road A,Fairfield Ludlowe High School, 1-999999 008-32
Hillside Road A,Fairfield Ludlowe High School, 1-181 008-32
Hillside Road A,Dwight School, 182-2698 001-34
Hilltop Drive A,Mill Hill School, 1-999999 010-32
Hitching Post Lane A,St Pius School, 1-999999 002-34
Holiday Road A,St Pius School, 1-999999 002-34
Holland Hill Road E,Holland Hill School, 2-460 007-33
Holland Hill Road E,Holland Hill School, 462-462 007-33
Holland Hill Road E,Holland Hill School, 464-768 007-33
Holland Hill Road E,Holland Hill School, 788-999998 007-33
Holland Hill Road O,Holland Hill School, 1-453 007-33
Holland Hill Road O,Holland Hill School, 847-1247 007-33
Hollis Street A,Sherman School, 1-999999 009-32
Hollow Tree Circle A,Dwight School, 1-999999 001-34
Holly Dale Road A,St Pius School, 1-999999 002-34
Home Fair Drive E,Stratfield School, 52-300 004-33
Home Fair Drive O,Fairfield Woods Middle School, 11-151 003-32
Home Fair Drive O,Fairfield Woods Middle School, 183-311 003-32
Home Street A,Holland Hill School, 1-999999 007-33
Homeland Street A,Stratfield School, 1-999999 004-33
Homestead Lane A,Dwight School, 1-999999 001-34
Honeysuckle Lane A,Holland Hill School, 1-999999 007-33
Horace Court A,Holland Hill School, 1-999999 007-33
Hornbeam Road A,Dwight School, 1-999999 001-34
Horseshoe Lane A,Dwight School, 1-999999 001-34
Howard Street A,Sherman School, 1-999999 009-32
Hoydens Hill Road A,Dwight School, 1-999999 001-34
Hoydens Lane A,Dwight School, 1-999999 001-34
Hubbell Lane A,Dwight School, 1-999999 001-34
Hulls Farm Road E,Dwight School, 138-1254 001-34
Hulls Farm Road O,Mill Hill School, 21-1159 010-32
Hulls Highway E,Mill Hill School, 2-404 010-32
Hulls Highway E,Mill Hill School, 438-620 010-32
Hulls Highway E,Mill Hill School, 730-1236 010-32
Hulls Highway O,Mill Hill School, 5-273 010-32
Hulls Highway O,Mill Hill School, 365-1115 010-32
Hulls Highway O,Mill Hill School, 1241-1241 010-32
Hunter Lane A,Fairfield Ludlowe High School, 1-999999 008-32
Hunter Road A,Fairfield Ludlowe High School, 1-999999 008-32
Hunyadi Avenue A,McKinley School, 1-999999 006-33
Hurd Street E,Sherman School, 18-250 009-32
Hurd Street O,Sherman School, 25-241 009-32
Indian Point Road A,Fairfield Woods Middle School, 1-999999 003-32
Ingleside Road A,Dwight School, 1-999999 001-34
Inwood Road A,Stratfield School, 1-999999 004-33
Ironside Road A,Dwight School, 1-999999 001-34
Ivy Lane A,Mill Hill School, 170-170 010-32
Ivy Lane O,Mill Hill School, 85-145 010-32
Jackman Avenue A,Stratfield School, 1-999999 004-33
Jackman Place A,Stratfield School, 1-999999 004-33
James Street A,Sherman School, 1-999999 009-32
Jarvis Court A,Sherman School, 1-999999 009-32
Jay Circle A,Fairfield Woods Middle School, 1-999999 003-32
Jefferson Street A,St Pius School, 1-999999 002-34
Jeniford Road A,Holland Hill School, 1-246 007-33
Jeniford Road A,Fairfield Woods Middle School, 259-499 003-32
Jennie Lane A,Dwight School, 1-999999 001-34
Jennings Road A,McKinley School, 1-720 006-33
